playername,score,kills,deaths,assists,damagetochampions
xddyuki,1356.974,221,91,228,907974
Lurox,1356.426,114,161,461,781426
Alvaro,1356.059,49,244,817,490059
Achael,1356.055,157,221,229,970055
xyno,1354.012,176,101,279,899012
Kisee,1351.408,159,111,244,948408
Broeki,1350.093,193,145,233,924093
Aithusa,1349.904,153,114,258,938904
Momo,1349.885,180,147,276,893885
Peto,1349.855,53,208,862,434855
Zdz,1347.253,133,137,287,927253
Oleg,1347.007,176,161,339,832007
Brucee,1346.109,148,178,499,699109
Pride,1345.882,132,173,231,982882
Libra,1345.637,158,156,262,925637
FATE,1342.716,132,134,242,968716
Kellin,1341.363,57,301,757,527363
soul1,1340.815,149,165,465,726815
Naviah,1340.571,165,117,228,947571
Solokill,1339.064,178,127,276,885064
Basraket,1338.355,218,136,230,890355
J3rkie,1336.831,63,252,795,478831
Salami,1335.576,195,126,223,917576
Painful,1333.392,162,157,239,932392
Doss,1333.128,71,252,777,485128
TF Blade,1332.729,138,154,312,882729
Devost,1330.576,141,137,322,867576
Pipibaat,1330.02,155,165,382,793020
Faetski,1327.777,196,117,212,919777
FakeGod,1324.945,140,74,285,899945
BVL MayR,1323.866,163,140,256,904866
TIMR,1318.208,59,222,834,425208
MetroArcher,1317.183,216,111,244,857183
Lucky,1315.797,47,235,787,481797
Enga,1315.759,148,99,305,862759
Daksider,1313.381,230,100,201,882381
Flakked,1312.405,141,110,191,980405
Netuno,1312.241,196,61,230,886241
Marth,1311.85,185,106,228,898850
Pun,1311.374,125,156,298,888374
Carzzy,1309.522,168,102,194,947522
Kamiloo,1308.306,125,165,190,993306
Dionelux,1307.868,140,175,301,866868
ManoloGap,1307.345,139,95,326,842345
Lac,1306.111,164,104,278,864111
Mercy9,1303.004,160,113,253,890004
Keii,1301.5140000000001,160,97,225,916514
Blaber,1301.383,149,133,450,702383
Dan,1299.985,167,117,302,830985
Pobelter,1298.518,142,83,269,887518
Nice Guy Ben,1298.198,104,211,233,961198
Anonymouss,1297.485,215,161,365,717485
CoBiT,1296.527,68,359,726,502527
Orca,1296.119,101,199,654,541119
ZekaS,1293.709,124,137,245,924709
MaiYuk,1293.214,127,190,254,912214
ISMA,1282.398,159,160,388,735398
Marcv1,1282.237,209,67,278,795237
KatzGames,1281.624,138,159,300,843624
Xiaoxu,1280.715,140,157,249,891715
scuro,1279.156,175,95,230,874156
Czypsy,1278.129,61,245,753,464129
M G,1277.872,159,41,283,835872
FSZ,1276.714,157,117,258,861714
Busio,1276.313,57,178,736,483313
Nanaue,1272.966,166,143,215,891966
Robo,1270.904,145,173,218,907904
Aria,1269.597,144,101,215,910597
Denathor,1265.821,144,121,224,897821
zynts,1265.181,144,107,252,869181
Hauz,1264.029,145,91,252,867029
Fudge,1263.3,134,136,222,907300
Roamer,1261.479,123,90,258,880479
DiDi,1261.398,182,99,274,805398
Improver,1260.763,153,170,251,856763
Pollu,1260.355,38,285,736,486355
VK motimotti11,1260.178,188,164,185,887178
Rising,1256.606,229,151,325,702606
Varry,1253.132,158,128,224,871132
BlackSwan,1252.79,174,114,182,896790
Mikyx,1251.106,50,232,711,490106
Xiaohao,1249.922,199,107,341,709922
Krest,1248.888,148,131,207,893888
Raina,1248.694,60,165,848,340694
TalentLess,1247.298,154,135,227,866298
Lot,1246.242,107,127,238,901242
Joinze,1245.81,155,154,408,682810
JNX,1245.737,132,172,181,932737
Djoko,1245.429,159,99,339,747429
Kice,1244.051,42,295,730,472051
ppgod,1243.491,47,291,751,445491
Strensh,1242.063,163,67,217,862063
Smiley,1241.187,166,74,255,820187
DDahyuk,1240.361,145,131,236,859361
HotPot,1236.241,164,299,375,697241
shanji,1235.316,115,154,278,842316
Prime,1234.225,56,240,729,449225
Czajek,1233.747,117,85,213,903747
pan,1232.879,160,101,226,846879
HiRit,1231.219,129,121,207,895219
