teamname,objective_score,result
Zena Esports,15.58974358974359,17
ZennIT,19.453846153846154,44
Zerance,13.597560975609756,13
Zero Tenacity,18.240506329113924,53
ZeroZone Gaming,8.681818181818182,0
Zerolag Esports,14.35897435897436,13
Zeu5 Esports,17.48611111111111,21
aNc Legends,13.666666666666666,6
devils.one,12.766666666666667,3
e-Champ Gaming,14.5,4
eQuizers,21.176470588235293,11
eSports Cologne e.V.,7.5,0
eSuba,18.602739726027398,46
evil genius (RTV Team),14.214285714285714,2
htp eSport Akademie Hannover,15.0,2
inf,19.396551724137932,19
mCon esports,21.008928571428573,36
paiN Gaming,19.739583333333332,29
regnum4games,24.0,1
wangting,15.586206896551724,27
ΣΤΕΝΑΧΩΡΕΜΕΝΟΙ,11.375,1
