playername,cs_total,cspm,minionkills,monsterkills,games_played
Buggax,2345.0,0.14954400756562847,2277.0,68,8
Built,3500.0,0.11819243618744249,3477.0,23,16
Bulas,1419.0,0.017273548209059787,1262.0,157,43
Bull,19693.0,0.15068643006988708,19142.0,551,66
Bumblebee,1916.0,0.13459897598260484,1896.0,20,8
Burdol,9607.0,0.13374440618621364,9450.0,157,37
Burence,321.0,0.018409107376028282,321.0,0,11
Busio,2180.0,0.01688171276119678,2159.0,21,65
Bust,2174.0,0.13256299755443537,2161.0,13,9
Busvicke,3977.0,0.10781738550885374,3956.0,21,19
Bvoy,14685.0,0.15037074956328522,14322.0,363,46
Bwater,6444.0,0.11434484655913411,6335.0,109,32
Bwipo,16789.0,0.13147478233780097,16553.0,236,64
C7,6859.0,0.12486538064213056,6727.0,132,27
CBL,300.0,0.01608099388716875,298.0,2,10
CHECKFIDER,1942.0,0.14816888947214363,1863.0,79,7
CHEF,8622.0,0.10053392518655935,921.0,7701,42
CK GOMAMUGICH4,173.0,0.01617337186929344,173.0,0,6
CK GOMAMUGICHA,654.0,0.014755233504080936,646.0,8,23
CK Ls ,517.0,0.01504315942774307,515.0,2,19
CK Razer,6574.0,0.11664119824912296,6506.0,68,30
CK Saba,2733.0,0.12479387233821133,2709.0,24,11
CK gotae,8762.0,0.12775304186831865,8610.0,152,37
CK ss1,9639.0,0.106874273195794,1130.0,8509,48
CKZ vorfles,639.0,0.15421433950432378,608.0,31,2
CNV Chrome,707.0,0.15650678389116912,654.0,53,2
CPM,10297.0,0.11525364109131477,10219.0,78,48
CROmpir,5107.0,0.14849229951341636,4977.0,130,16
CRZ Cold Rose,508.0,0.1508626770423271,476.0,32,2
CRZ Flashpowa,539.0,0.1601618520794919,529.0,10,2
CRZ Satto,48.0,0.014314916465157958,48.0,0,2
CRZ Zeradyn,168.0,0.10325752919483712,168.0,0,1
CRZ pvm,157.0,0.09649661954517517,13.0,144,1
CRoNiiK,10773.0,0.10526356937671456,908.0,9865,53
Caedrel,27.0,0.016453382084095063,26.0,1,1
Caliste,30066.0,0.16317087658096502,28149.0,1917,93
Calix,22111.0,0.1468621958422164,21792.0,319,81
Callian,1277.0,0.016338241691779904,1269.0,8,41
Callme,17725.0,0.13778643568018284,17378.0,347,68
Calmsky,1089.0,0.015019752955409523,1077.0,12,40
Caltys,9048.0,0.1445391772407011,8763.0,285,31
Camana,5143.0,0.13918400417322993,4940.0,203,19
Camilonicolau,4348.0,0.103869710584615,453.0,3895,22
Caner,2747.0,0.14638892269300727,2624.0,123,10
Canna,24507.0,0.1337168225416542,23560.0,947,93
Canyon,25884.0,0.11404287097964651,2141.0,23743,120
Cape,803.0,0.0954210373015467,155.0,648,4
Caps,24674.0,0.14567889403700465,23818.0,856,86
CaptainSexy,3037.0,0.13593340091530423,3010.0,27,12
Carbono,645.0,0.11193598649828894,87.0,558,3
Care,26702.0,0.13845372643568502,26277.0,425,99
Career,3953.0,0.02015846231500383,3908.0,45,104
Carim,2122.0,0.10059257278964345,217.0,1905,11
CarioK,10281.0,0.10452131995361104,1077.0,9204,48
Carlsen,11977.0,0.13748022305745536,11718.0,259,44
Carnage,5653.0,0.09596852227056221,598.0,5055,30
Carros,3701.0,0.13275211764323866,3621.0,80,15
Carry,2042.0,0.01724945775548324,2036.0,6,60
Cartamenio,74.0,0.01279060573684415,70.0,4,3
Carzzy,11357.0,0.14960166204466968,10920.0,437,37
Casting,23698.0,0.12824512997017815,23053.0,645,98
Castle,7143.0,0.1291029112228863,7026.0,117,28
Caucha,8654.0,0.13226281964550884,8472.0,182,35
Cavalo,1704.0,0.019246070170383413,1696.0,8,46
CbhhuZi,209.0,0.017380600021097987,205.0,4,7
Cboi,12035.0,0.10523789072524001,1102.0,10933,62
Ceasarna,1128.0,0.10692098957213596,128.0,1000,6
Celo,13967.0,0.15302708882408764,13410.0,557,47
Centu,1944.0,0.01613730965514553,1927.0,17,63
Ceos,1400.0,0.01650810283019095,1392.0,8,39
Chama,499.0,0.13676824008804023,493.0,6,2
