playername,mean_kills,std_kills,mean_deaths,std_deaths,mean_damage,std_damage
Hwichan,5.015151515151516,3.335092775747599,2.287878787878788,1.7255113089717136,24441.090909090908,7490.922846972908
Hydra,4.0,2.430427276053749,2.659090909090909,1.7110201202815989,22131.295454545456,8701.32155314017
Hydraa,0.2,0.447213595499958,5.6,1.3416407864998738,7579.4,3418.092860061002
Hygon,2.642857142857143,2.3603873774083297,3.9285714285714284,1.6981159806084751,14039.285714285714,6612.052014410491
Hylissang,0.9285714285714286,1.2688144505364485,5.428571428571429,3.1308461799005394,5736.928571428572,1961.3950476553757
Hyorai,0.8571428571428571,1.0623424252901832,4.666666666666667,2.762848771346947,8640.190476190477,3409.9018258455426
Hypa,2.5714285714285716,2.14919697074224,6.142857142857143,2.6726124191242437,14915.857142857143,5341.1845261942735
Hype,4.25,3.2570245555144157,2.1323529411764706,1.6198803324578506,22574.823529411766,9879.641491382372
Hyper720,2.1666666666666665,2.3166067138525404,3.6666666666666665,1.2110601416389966,17467.166666666668,4389.205915272906
ICON Ace2,5.333333333333333,4.041451884327381,6.333333333333333,1.1547005383792517,14436.333333333334,10214.552429418203
ICON Alitan,4.0,3.605551275463989,4.0,1.0,10190.0,8198.407833232011
ICON BetoEZ,0.6666666666666666,1.1547005383792517,4.666666666666667,1.5275252316519465,4259.0,1182.8791147027662
ICON Zeckro,3.0,2.0,4.666666666666667,1.5275252316519465,11183.333333333334,5109.326896307706
IDA,6.0,2.9154759474226504,3.5555555555555554,2.1278575558006176,26285.555555555555,11889.914698086684
IHEBIC,1.6666666666666667,1.3026778945578592,4.916666666666667,2.7122058561364044,7629.333333333333,2636.513135782091
IN5 Troublemak,1.0,1.0,4.0,1.0,12166.666666666666,3602.391612988978
INF Stepz,5.0,0.0,1.0,0.0,16538.5,632.86056916196
ISMA,2.890909090909091,2.6010875736231114,2.909090909090909,2.0662430325013244,13370.872727272726,5208.36818141069
IanaTheAlpha,0.42857142857142855,0.5345224838248488,3.5714285714285716,2.29906813420444,5856.142857142857,2191.2903678404823
Ibai,6.84375,4.220605177520888,2.90625,2.493337897471528,34348.125,16900.877189966282
Ice,4.681818181818182,3.167955303248874,2.159090909090909,1.5543364967186846,26308.5,12473.349356239112
IceBreaker,5.0,,1.0,,17853.0,
Ichiwin,0.625,0.7513428837969108,3.0625,2.139301966349259,6587.4375,2215.216612688031
Icytower,5.181818181818182,3.429815791501982,2.727272727272727,1.9540168418367887,26154.727272727272,9167.01670218735
Iheb,0.7916666666666666,1.0206207261596574,5.125,2.1123343773510697,6316.875,2304.0342372248615
Ihy0,2.7142857142857144,2.334641182398154,3.5,1.8708286933869707,14526.642857142857,6988.496939830623
IlllIma,2.8518518518518516,2.4448329139652833,4.222222222222222,1.908147174886057,18657.62962962963,8880.2157507927
Ilyxøu,3.1,2.3620938125923745,3.675,1.7886752009123892,17056.475,6310.800607454753
Impact,2.533333333333333,2.134992292818754,2.933333333333333,2.0900625784700573,17499.35,7051.348234647836
Impp,0.5714285714285714,0.5345224838248488,5.285714285714286,2.563479777846623,5031.428571428572,1408.7581833116778
Improver,3.477272727272727,2.976564559194518,3.8636363636363638,1.9835475512195972,19471.886363636364,7751.937492895773
Impulse,1.0,1.4142135623730951,5.5,3.5355339059327378,9421.5,3481.0866837813733
Infinity,2.5,2.6178122882419563,2.5555555555555554,1.1991282236408356,9883.277777777777,3195.049549566174
Infoneral,1.0161290322580645,1.260912179361173,3.7903225806451615,2.3127380464040956,6931.177419354839,2568.525701541987
Innaxe,5.769230769230769,3.0215152913514176,2.717948717948718,1.791040831600117,29478.30769230769,13539.120375209497
Insanity,4.65,3.084701706062454,2.15,1.7179295827483883,24699.175,7849.779960618527
Inspire,4.317073170731708,3.4888323576108093,4.170731707317073,1.8828494234057893,26194.170731707316,11718.729711240974
Inspired,3.0615384615384613,2.384041494218137,2.2153846153846155,2.2395054399095833,16029.184615384615,7309.507103107885
Instinct,4.666666666666667,2.9901800063856077,2.8333333333333335,1.823054966742557,25771.444444444445,12324.980621496388
Intensitive,2.0,1.4142135623730951,6.0,1.4142135623730951,14187.5,8599.125566009605
Intio,5.56,4.426059195266146,3.32,2.249444375840399,26316.44,15660.486760953509
IntoxqZz,3.2857142857142856,2.690370836538197,3.7142857142857144,1.6035674514745462,18992.714285714286,8806.023558040366
Inzuh,3.5714285714285716,2.807774542871611,2.642857142857143,1.6824648081573148,21807.25,10356.880914084053
Ipecacuhana,1.4,1.7647338933351153,4.666666666666667,1.1751393027860064,7195.8,3158.7212195534353
Irrelevant,2.3157894736842106,1.4906059561946474,3.1315789473684212,1.8912465877724736,19250.394736842107,8243.377943601312
Isles,0.45714285714285713,0.7005400077947072,3.4571428571428573,1.8840328638144221,6999.257142857143,4374.93374297968
Italin,0.5,0.7071067811865476,5.0,2.8284271247461903,6408.0,1166.7261889578035
ItsCoto,3.3333333333333335,2.3094010767585034,1.3333333333333333,0.5773502691896257,13026.333333333334,5059.901316560762
Ivama,2.625,2.012060410816284,3.46875,1.7035896636031471,14131.40625,5650.850805820049
Ivok,2.1176470588235294,1.7278003697322961,4.705882352941177,2.5924097352259183,16996.29411764706,5841.883490843363
Ivory,3.659090909090909,2.7781806144358328,3.2045454545454546,1.874920717139862,23643.090909090908,8357.306684261332
J0J0C,4.8,3.241966197785876,3.433333333333333,2.387948670004176,20458.366666666665,6238.916746620713
